precipitation,avg_temp,max_temp,min_temp,wind_direction,wind_speed,date_full,year,month,week_of,city,code,location,state
0.0,39,46,32,33,4.33,2016-01-03,2016,1,3,Birmingham,BHM,"Birmingham, AL",Alabama
0.0,39,47,31,32,3.86,2016-01-03,2016,1,3,Huntsville,HSV,"Huntsville, AL",Alabama
0.16,46,51,41,35,9.73,2016-01-03,2016,1,3,Mobile,MOB,"Mobile, AL",Alabama
0.0,45,52,38,32,6.86,2016-01-03,2016,1,3,Montgomery,MGM,"Montgomery, AL",Alabama
0.01,34,38,29,19,7.8,2016-01-03,2016,1,3,Anchorage,ANC,"Anchorage, AK",Alaska
0.09,38,44,31,9,8.7,2016-01-03,2016,1,3,Annette,ANN,"Annette, AK",Alaska
0.05,30,36,24,9,16.46,2016-01-03,2016,1,3,Bethel,BET,"Bethel, AK",Alaska
0.15,22,32,9,2,3.1,2016-01-03,2016,1,3,Bettles,BTT,"Bettles, AK",Alaska
0.6,34,36,31,20,9.1,2016-01-03,2016,1,3,Cold Bay,CDB,"Cold Bay, AK",Alaska
2.15,38,43,33,9,9.76,2016-01-03,2016,1,3,Cordova,CDV,"Cordova, AK",Alaska
0.0,31,39,23,14,17.9,2016-01-03,2016,1,3,Delta Junction/Ft Greely,BIG,"Delta Junction/Ft Greely, AK",Alaska
0.0,14,30,4,2,2.2,2016-01-03,2016,1,3,Fairbanks,FAI,"Fairbanks, AK",Alaska
0.02,27,34,19,14,8.23,2016-01-03,2016,1,3,Gulkana,GKN,"Gulkana, AK",Alaska
1.22,39,42,35,9,11.26,2016-01-03,2016,1,3,Homer,HOM,"Homer, AK",Alaska
0.0,40,42,37,9,19.76,2016-01-03,2016,1,3,Iliamna,ILI,"Iliamna, AK",Alaska
0.7,36,40,31,10,9.23,2016-01-03,2016,1,3,Juneau,JNU,"Juneau, AK",Alaska
0.14,34,37,30,6,11.2,2016-01-03,2016,1,3,Kenai,ENA,"Kenai, AK",Alaska
0.17,37,41,33,15,6.16,2016-01-03,2016,1,3,Ketchikan,KTN,"Ketchikan, AK",Alaska
0.05,39,42,35,10,18.83,2016-01-03,2016,1,3,King Salmon,AKN,"King Salmon, AK",Alaska
1.3,40,42,36,11,21.8,2016-01-03,2016,1,3,Kodiak,ADQ,"Kodiak, AK",Alaska
0.1,27,33,20,11,11.76,2016-01-03,2016,1,3,Kotzebue,OTZ,"Kotzebue, AK",Alaska
0.01,30,39,20,15,3.7,2016-01-03,2016,1,3,Mc Grath,MCG,"Mc Grath, AK",Alaska
0.08,29,32,25,6,12.86,2016-01-03,2016,1,3,Nome,OME,"Nome, AK",Alaska
0.0,0,8,-9,20,0.36,2016-01-03,2016,1,3,Northway,ORT,"Northway, AK",Alaska
0.4,37,42,32,8,10.5,2016-01-03,2016,1,3,Palmer,PAQ,"Palmer, AK",Alaska
0.0,60,60,60,18,1.83,2016-01-03,2016,1,3,Petersburg,PSG,"Petersburg, AK",Alaska
0.0,60,60,60,0,0.0,2016-01-03,2016,1,3,Puntilla Lake,PTI,"Puntilla Lake, AK",Alaska
0.0,60,60,60,0,0.0,2016-01-03,2016,1,3,Shemya,SYA,"Shemya, AK",Alaska
0.37,43,46,39,19,11.26,2016-01-03,2016,1,3,Sitka,SIT,"Sitka, AK",Alaska
0.55,38,42,33,14,5.2,2016-01-03,2016,1,3,Skagway,SGY,"Skagway, AK",Alaska
0.15,32,35,29,22,9.03,2016-01-03,2016,1,3,St Paul Island,SNP,"St Paul Island, AK",Alaska
0.04,32,39,23,2,4.93,2016-01-03,2016,1,3,Talkeetna,TKA,"Talkeetna, AK",Alaska
0.0,21,29,13,8,3.83,2016-01-03,2016,1,3,Tanana,TAL,"Tanana, AK",Alaska
0.05,6,9,2,6,13.76,2016-01-03,2016,1,3,Utqiagvik (Barrow),BRW,"Utqiagvik (Barrow), AK",Alaska
2.42,36,40,32,11,5.93,2016-01-03,2016,1,3,Yakutat,YAK,"Yakutat, AK",Alaska
0.0,41,57,24,6,4.2,2016-01-03,2016,1,3,Douglas Bisbee,DUG,"Douglas Bisbee, AZ",Arizona
0.0,40,54,25,4,4.2,2016-01-03,2016,1,3,Kingman,IGM,"Kingman, AZ",Arizona
0.0,58,69,45,13,5.8,2016-01-03,2016,1,3,Phoenix,PHX,"Phoenix, AZ",Arizona
0.0,56,69,43,12,12.93,2016-01-03,2016,1,3,Tucson,TUS,"Tucson, AZ",Arizona
0.0,29,42,15,27,2.7,2016-01-03,2016,1,3,Winslow,INW,"Winslow, AZ",Arizona
0.0,39,51,27,27,5.16,2016-01-03,2016,1,3,Fort Smith,FSM,"Fort Smith, AR",Arkansas
0.0,38,48,27,29,7.4,2016-01-03,2016,1,3,Harrison,HRO,"Harrison, AR",Arkansas
0.0,42,49,34,0,0.0,2016-01-03,2016,1,3,North Little Rock,LZK,"North Little Rock, AR",Arkansas
0.0,47,60,33,34,2.2,2016-01-03,2016,1,3,Bakersfield,BFL,"Bakersfield, CA",California
0.0,27,42,12,32,3.06,2016-01-03,2016,1,3,Bishop,BIH,"Bishop, CA",California
0.0,35,49,21,21,1.56,2016-01-03,2016,1,3,China Lake,NID,"China Lake, CA",California
0.0,44,51,37,6,4.06,2016-01-03,2016,1,3,Concord,CCR,"Concord, CA",California
0.06,44,53,33,0,0.0,2016-01-03,2016,1,3,Eureka,EKA,"Eureka, CA",California
